Date,Close,t,y
7/23/2013,1692.39,1,7.43389701
7/22/2013,1695.53,3,7.435750655
7/19/2013,1692.09,1,7.43371973
7/18/2013,1689.37,1,7.432110957
7/17/2013,1680.91,1,7.427090592
7/16/2013,1676.26,1,7.4243204
7/15/2013,1682.5,3,7.428036062
7/12/2013,1680.19,1,7.426662161
7/11/2013,1675.02,1,7.423580384
7/10/2013,1652.62,1,7.410117186
7/9/2013,1652.32,1,7.40993564
7/8/2013,1640.46,3,7.402731969
7/5/2013,1631.89,2,7.397494131
7/3/2013,1615.41,1,7.387344073
7/2/2013,1614.08,1,7.386520414
7/1/2013,1614.96,3,7.387065468
6/28/2013,1606.28,1,7.381676226
6/27/2013,1613.2,1,7.385975063
6/26/2013,1603.26,1,7.379794335
6/25/2013,1588.03,1,7.370249533
6/24/2013,1573.09,3,7.360797117
6/21/2013,1592.43,1,7.37301643
6/20/2013,1588.19,1,7.370350282
6/19/2013,1628.93,1,7.395678637
6/18/2013,1651.81,1,7.409626935
6/17/2013,1639.04,3,7.401865984
6/14/2013,1626.73,1,7.394327144
6/13/2013,1636.36,1,7.400229542
6/12/2013,1612.52,1,7.385553452
6/11/2013,1626.13,1,7.393958238
6/10/2013,1642.81,3,7.404163469
6/7/2013,1643.38,1,7.404510376
6/6/2013,1622.56,1,7.391760428
6/5/2013,1608.9,1,7.383305995
6/4/2013,1631.38,1,7.397181561
6/3/2013,1640.42,3,7.402707586
5/31/2013,1630.74,1,7.396789179
5/30/2013,1654.41,1,7.411199729
5/29/2013,1648.36,1,7.407536133
5/28/2013,1660.06,4,7.414609025
5/24/2013,1649.6,1,7.408288113
5/23/2013,1650.51,1,7.40883961
5/22/2013,1655.35,1,7.411767746
5/21/2013,1669.16,1,7.420075785
5/20/2013,1666.29,3,7.418354877
5/17/2013,1667.47,1,7.419062787
5/16/2013,1650.47,1,7.408815375
5/15/2013,1658.78,1,7.413837671
5/14/2013,1650.34,1,7.408736606
5/13/2013,1633.77,3,7.398645507
5/10/2013,1633.7,1,7.39860266
5/9/2013,1626.67,1,7.394290259
5/8/2013,1632.69,1,7.39798424
5/7/2013,1625.96,1,7.39385369
5/6/2013,1617.5,3,7.388637026
5/3/2013,1614.42,1,7.386731038
5/2/2013,1597.59,1,7.376251523
5/1/2013,1582.7,1,7.366887528
4/30/2013,1597.57,1,7.376239004
4/29/2013,1593.61,3,7.373757162
4/26/2013,1582.24,1,7.366596844
4/25/2013,1585.16,1,7.368440628
4/24/2013,1578.79,1,7.36441401
4/23/2013,1578.78,1,7.364407676
4/22/2013,1562.5,3,7.354042382
4/19/2013,1555.25,1,7.349391583
4/18/2013,1541.61,1,7.340582604
4/17/2013,1552.01,1,7.347306144
4/16/2013,1574.57,1,7.361737498
4/15/2013,1552.36,3,7.347531633
4/12/2013,1588.85,1,7.370765763
